"Fecha";"Mercado";"Producto";"Precio"
"22-03-05";"Rosario";"Maiz";"U$S 65.17"
"23-03-05";"Rosario";"Maiz";"U$S 63.49"
"28-03-05";"Rosario";"Maiz";"U$S 63.31"
"29-03-05";"Rosario";"Maiz";"U$S 64.09"
"30-03-05";"Rosario";"Maiz";"U$S 65.07"
"31-03-05";"Rosario";"Maiz";"U$S 66.4"
"01-04-05";"Rosario";"Maiz";"U$S 65.67"
"04-04-05";"Rosario";"Maiz";"U$S 65.09"
"05-04-05";"Rosario";"Maiz";"U$S 64.2"
"06-04-05";"Rosario";"Maiz";"U$S 65.09"
"07-04-05";"Rosario";"Maiz";"U$S 64.04"
"08-04-05";"Rosario";"Maiz";"U$S 62.98"
"11-04-05";"Rosario";"Maiz";"U$S 64.43"
"12-04-05";"Rosario";"Maiz";"U$S 65.4"
"13-04-05";"Rosario";"Maiz";"U$S 64.57"
"14-04-05";"Rosario";"Maiz";"U$S 66.61"
"15-04-05";"Rosario";"Maiz";"U$S 65.83"
"18-04-05";"Rosario";"Maiz";"U$S 63.92"
"19-04-05";"Rosario";"Maiz";"U$S 65.13"
"20-04-05";"Rosario";"Maiz";"U$S 65.69"
"21-04-05";"Rosario";"Maiz";"U$S 65.45"
"22-04-05";"Rosario";"Maiz";"U$S 65.31"
"25-04-05";"Rosario";"Maiz";"U$S 67.15"
"26-04-05";"Rosario";"Maiz";"U$S 66.55"
"27-04-05";"Rosario";"Maiz";"U$S 64.48"
"28-04-05";"Rosario";"Maiz";"U$S 64.7"
"29-04-05";"Rosario";"Maiz";"U$S 65.19"
"02-05-05";"Rosario";"Maiz";"U$S 63.79"
"03-05-05";"Rosario";"Maiz";"U$S 63.86"
"04-05-05";"Rosario";"Maiz";"U$S 65.61"
"05-05-05";"Rosario";"Maiz";"U$S 65.34"
"06-05-05";"Rosario";"Maiz";"U$S 65.82"
"09-05-05";"Rosario";"Maiz";"U$S 66.18"
"10-05-05";"Rosario";"Maiz";"U$S 67.33"
"11-05-05";"Rosario";"Maiz";"U$S 66.23"
"12-05-05";"Rosario";"Maiz";"U$S 63.93"
"13-05-05";"Rosario";"Maiz";"U$S 64.1"
"16-05-05";"Rosario";"Maiz";"U$S 66.57"
"17-05-05";"Rosario";"Maiz";"U$S 66.75"
"18-05-05";"Rosario";"Maiz";"U$S 68.26"
"19-05-05";"Rosario";"Maiz";"U$S 67.59"
"20-05-05";"Rosario";"Maiz";"U$S 67.61"
"23-05-05";"Rosario";"Maiz";"U$S 69.3"
"24-05-05";"Rosario";"Maiz";"U$S 69.23"
"26-05-05";"Rosario";"Maiz";"U$S 69.36"
"27-05-05";"Rosario";"Maiz";"U$S 69.25"
"30-05-05";"Rosario";"Maiz";"U$S 67.65"
"31-05-05";"Rosario";"Maiz";"U$S 69.37"
"01-06-05";"Rosario";"Maiz";"U$S 68.95"
"02-06-05";"Rosario";"Maiz";"U$S 66.66"
"03-06-05";"Rosario";"Maiz";"U$S 67.38"
"06-06-05";"Rosario";"Maiz";"U$S 69.02"
"07-06-05";"Rosario";"Maiz";"U$S 68.31"
"08-06-05";"Rosario";"Maiz";"U$S 66.89"
"09-06-05";"Rosario";"Maiz";"U$S 67.29"
"10-06-05";"Rosario";"Maiz";"U$S 65.7"
"13-06-05";"Rosario";"Maiz";"U$S 68.33"
"14-06-05";"Rosario";"Maiz";"U$S 69.61"
"15-06-05";"Rosario";"Maiz";"U$S 71.36"
"16-06-05";"Rosario";"Maiz";"U$S 71.4"
"17-06-05";"Rosario";"Maiz";"U$S 73.12"
"21-06-05";"Rosario";"Maiz";"U$S 72.67"
"22-06-05";"Rosario";"Maiz";"U$S 73.24"
"23-06-05";"Rosario";"Maiz";"U$S 72.25"
"24-06-05";"Rosario";"Maiz";"U$S 73.09"
"27-06-05";"Rosario";"Maiz";"U$S 68.99"
"28-06-05";"Rosario";"Maiz";"U$S 69.73"
"29-06-05";"Rosario";"Maiz";"U$S 70.12"
"30-06-05";"Rosario";"Maiz";"U$S 69.31"
"01-07-05";"Rosario";"Maiz";"U$S 72.56"
"04-07-05";"Rosario";"Maiz";"U$S 72.62"
"05-07-05";"Rosario";"Maiz";"U$S 77.96"
"06-07-05";"Rosario";"Maiz";"U$S 78.06"
"07-07-05";"Rosario";"Maiz";"U$S 78.14"
"08-07-05";"Rosario";"Maiz";"U$S 74.94"
"11-07-05";"Rosario";"Maiz";"U$S 76.64"
"12-07-05";"Rosario";"Maiz";"U$S 76.58"
"13-07-05";"Rosario";"Maiz";"U$S 79.12"
"14-07-05";"Rosario";"Maiz";"U$S 82.05"
"15-07-05";"Rosario";"Maiz";"U$S 82.15"
"18-07-05";"Rosario";"Maiz";"U$S 83.8"
"19-07-05";"Rosario";"Maiz";"U$S 78.79"
"20-07-05";"Rosario";"Maiz";"U$S 78.62"
"21-07-05";"Rosario";"Maiz";"U$S 77.18"
"22-07-05";"Rosario";"Maiz";"U$S 76.84"
"25-07-05";"Rosario";"Maiz";"U$S 75.82"
"26-07-05";"Rosario";"Maiz";"U$S 77.57"
"27-07-05";"Rosario";"Maiz";"U$S 78.46"
"28-07-05";"Rosario";"Maiz";"U$S 80.61"
"29-07-05";"Rosario";"Maiz";"U$S 80.39"
"01-08-05";"Rosario";"Maiz";"U$S 80.38"
"02-08-05";"Rosario";"Maiz";"U$S 78.7"
"03-08-05";"Rosario";"Maiz";"U$S 77.59"
"04-08-05";"Rosario";"Maiz";"U$S 78.59"
"05-08-05";"Rosario";"Maiz";"U$S 77.77"
"08-08-05";"Rosario";"Maiz";"U$S 79.54"
"09-08-05";"Rosario";"Maiz";"U$S 79.12"
"10-08-05";"Rosario";"Maiz";"U$S 79.44"
